1,,,,,,,,,,,
10,12,12,3,3,2,2,6,1,1,,
10,12,12,3,3,2,2,6,7,1,,
13,12,12,3,3,2,2,6,1,1,,
,,,,,,,11,11,11,11,11
,,11,11,11,11,11,11,11,11,11,11
,,11,11,11,11,11,11,11,11,11,11
,,,,,,,11,11,11,11,11
10,12,12,3,3,2,2,6,4,5,,
10,12,12,3,3,2,2,6,4,5,,
10,12,12,3,3,2,2,6,4,5,,
10,12,12,3,3,2,2,6,4,5,,
10,12,12,3,3,2,2,6,4,5,,
,,,,,,,11,11,11,11,11
,,11,11,11,11,11,11,11,11,11,11
,,11,11,11,11,11,11,11,11,11,11
,,,,,,,11,11,11,11,11
13,12,12,3,3,2,2,6,1,1,,
10,12,12,3,3,2,2,6,7,1,,
10,12,12,3,3,2,2,6,1,1,,
