1,,,,,,,,,,,,,,,,,
,,13,10,12,3,3,,7,1,6,6,,6,4,2,2,11
,,,10,12,,,3,,1,,,6,,4,,,11
,,,10,12,,,3,,1,,,6,,4,,,11
,,,13,12,,,3,,1,,,6,,4,,,11
,,,,12,3,3,3,1,,6,6,6,6,,4,2,11
,,,,,3,3,3,1,1,,6,6,6,2,,2,11
,,,,,,3,3,1,1,1,,6,6,2,2,,11
11,11,11,11,11,11,,3,1,1,1,1,,6,2,2,2,11
11,11,11,11,11,11,,3,1,1,1,1,,6,2,2,2,11
11,11,11,11,11,11,,3,1,1,1,1,,6,2,2,2,11
,,,,,,3,3,1,1,1,,6,6,2,2,,11
,,,,,3,3,3,1,1,,6,6,6,2,,2,11
,,,,12,3,3,3,1,,6,6,6,6,,5,2,11
,,,13,12,,,3,,1,,,6,,5,,,11
,,,10,12,,,3,,1,,,6,,5,,,11
,,,10,12,,,3,,1,,,6,,5,,,11
,,13,10,12,3,3,,7,1,6,6,,6,5,2,2,11
